Parameter,Value
G,6.674e-11
TimeStep,3600.0
TotalSimTime_Predefined,5184000.0
Integrator,rk4
CollisionModel,ignore
SimulationMode,pre_defined

Earth_ID,0
Earth_Mass,5.972e+24
Earth_InitialPosX,-4672203.365158763
Earth_InitialPosY,0.0
Earth_InitialPosZ,0.0
Earth_InitialVelX,0.0
Earth_InitialVelY,12.45246027415669
Earth_InitialVelZ,0.0
Earth_Radius,6372255.736961294
Earth_Color,#1E90FF
Moon_ID,1
Moon_Mass,7.348e+22
Moon_InitialPosX,379727796.63484126
Moon_InitialPosY,0.0
Moon_InitialPosZ,0.0
Moon_InitialVelX,0.0
Moon_InitialVelY,-1012.0589651233502
Moon_InitialVelZ,0.0
Moon_Radius,1471102.656837848
Moon_Color,#D3D3D3

Time,Earth_Px,Earth_Py,Earth_Pz,Earth_Vx,Earth_Vy,Earth_Vz,Moon_Px,Moon_Py,Moon_Pz,Moon_Vx,Moon_Vy,Moon_Vz
3600.0,-4671988.303160211,44828.84862676134,0.0,0.119478909959912,12.45245330731883,0.0,379710317.8563722,-3643357.0516835153,0.0,-9.71036157558458,-1012.0129464859273,0.0
7200.0,-4671343.127065286,89655.60872694151,0.0,0.23895225347793736,12.451299981403029,0.0,379657883.11062,-7286380.735910524,0.0,-19.419834651254625,-1011.8737623586676,0.0
10800.0,-4670267.876710895,134476.15359631105,0.0,0.35840903181878214,12.449000401318251,0.0,379570497.2051619,-10928735.677254714,0.0,-29.127525369906067,-1011.6414254520015,0.0
14400.0,-4668762.6315268045,179286.35709826238,0.0,0.47783824768711397,12.445554777501139,0.0,379448168.1652021,-14570086.56148454,0.0,-38.83254003161122,-1011.315957052364,0.0
18000.0,-4666827.510528631,224082.0940436799,0.0,0.5972289062401098,12.44096342589955,0.0,379290907.23285776,-18210098.166433964,0.0,-48.533985175906054,-1010.8973870204719,0.0
21600.0,-4664462.672307194,268859.2405707333,0.0,0.7165700160998532,12.435226767946386,0.0,379098728.8661492,-21848435.39286559,0.0,-58.230967664061595,-1010.385753788811,0.0
25200.0,-4661668.31501422,313613.67452455923,0.0,0.8358505903654865,12.428345330523689,0.0,378871650.7376932,-25484763.295323312,0.0,-67.92259476133168,-1009.781104358334,0.0
28800.0,-4658444.676344398,358341.2758367958,0.0,0.9550596476250267,12.420319745917041,0.0,378609693.7331009,-29118747.112971675,0.0,-77.60797421916969,-1009.0834942943682,0.0
32400.0,-4654792.033513809,403037.9269049362,0.0,1.0741862129667497,12.411150751760243,0.0,378312881.9490794,-32750052.30041906,0.0,-87.28621435740644,-1008.2929877217349,0.0
36000.0,-4650710.703234693,447699.512971465,0.0,1.1932193189900502,12.400839190970276,0.0,377981242.69123787,-36378344.5585219,0.0,-96.95642414638189,-1007.4096573190794,0.0
39600.0,-4646201.041686604,492321.9225027433,0.0,1.3121480068156854,12.389386011672576,0.0,377614806.47159797,-40003289.865167044,0.0,-106.61771328902296,-1006.4335843124126,0.0
43200.0,-4641263.444483906,536901.047567607,0.0,1.4309613270953065,12.376792267116594,0.0,377213607.0058087,-43624554.50602948,0.0,-116.26919230285978,-1005.364858467864,0.0
46800.0,-4635898.34663965,581432.7842156441,0.0,1.549648341020187,12.36305911558167,0.0,376777681.2100666,-47241805.10530251,0.0,-125.90997260197304,-1004.2035780836486,0.0
50400.0,-4630106.222525817,625913.0328551152,0.0,1.6681981213290527,12.348187820273218,0.0,376307069.19774044,-50854708.65639765,0.0,-135.5391665788647,-1002.949849981245,0.0
54000.0,-4623887.585829935,670337.6986304835,0.0,1.7865997533149245,12.332179749209232,0.0,375801814.27570194,-54462932.55261126,0.0,-145.15588768624443,-1001.6037894957889,0.0
57600.0,-4617242.989508071,714702.691799518,0.0,1.9048423358308735,12.315036375097128,0.0,375261962.94036174,-58066144.61775531,0.0,-154.75925051872443,-1000.1655204656797,0.0
61200.0,-4610173.025734209,759003.9281099365,0.0,2.022914982294602,12.296759275200914,0.0,374687564.87341183,-61664013.13674916,0.0,-164.34837089441493,-998.635175221404,0.0
64800.0,-4602678.325846013,803237.3291755534,0.0,2.140806821691757,12.277350131198727,0.0,374078672.93727416,-65256206.886169866,0.0,-173.92236593641272,-997.0128945735736,0.0
68400.0,-4594759.560286974,847398.8228518959,0.0,2.2585069995778744,12.256810729030715,0.0,373435343.1702561,-68842395.16475783,0.0,-183.48035415417544,-995.2988278001823,0.0
72000.0,-4586417.43854496,891484.343611257,0.0,2.376004679078877,12.235142958737308,0.0,372757634.7814133,-72422247.82387535,0.0,-193.02145552477387,-993.4931326330795,0.0
